rawVesNames,mappedVesNames
MV AZALEA ISLAND,AZALEA ISLAND
MV AZAO,AZAO
MV BANGLAR JOY JATRA,BANGLAR JOY JATRA
MV BANGLAR JOYJATRA,BANGLAR JOYJATRA
MV BASIC BRAVE (EXP-F),BASIC BRAVE
MV BASIC BRAVE (EXP-F) - NR,BASIC BRAVE
MV BAY YASU,BAY YASU
MV BBC ALBERTA (EXP-F),BBC ALBERTA
MV BBC GREANLAND,BBC GREENLAND
MV BBC GREENLAND  (EXP-F),BBC GREENLAND
MV BBG HONOR (MGT-P),BBG HONOR 
MV BELOCEAN (EXP-F),BELOCEAN
MV BLACK FOREST,BLACK FOREST
MV BLUE LOTUS,BLUE LOTUS
MV BRILIANCE,BRILLIANCE
MV BULK ITALY,BULK ITALY
MV BULK PHILIPPINES (EXP-F) Manual,BULK PHILIPPINES
MV BULK POLARIS,BULK POLARIS
MV BULLDOG,BULLDOG
MV CAPE PROVIDENC E,CAPE PROVIDENC E
MV CAPT V MADIAS,CAPTAIN V. MADIAS
MV CAPTAIN GEORGE,CAPTAIN GEORGE
MV CAROLINE SELMER,CAROLINE SELMER
MV CAS AVANCA(B/L),CAS AVANCA
MV CHINA PRIDE,CHINA PRIDE
MV CHINOOK,CHINOOK
MV CHOLA TREASURE,CHOLA TREASURE
MV CIELO DI ANGRA,CIELO DI ANGRA
MV CONSOLIDATOR,CONSOLIDATOR
MV COUGAR,COUGAR
MV COUGAR (EXP-C) Mech,COUGAR
MV CRIMSON KNIGHT,CRIMSON KNIGHT
MV DAEHO SUNSHINE,DAEH SUNSHINE
MV DARYA JAYA,DARYA JAYA
MV DARYA JAYA (EXP-c) Mech,DARYA JAYA
MV DARYA LAKSHMI (EXP-F) Mech,BERMONDI
MV DELLIGHT (EXP-F) Mech,BELLIGHT
MV DIAMOND STAR II,M V DIAMOND STAR
MV DIANA,DIANA
MV DIVA,DIVA
MV DMC JUPITER,DMC JUPITER
MV DONG MINH,DONG MINH
MV EDWARD OLDENDORFF,EDWARD OLDENDORFF
MV ELAR TRADER,ELAR TRADER
MV ELEEN EVA (EXP-C) Mech,ELEEN EVA
MV ELENA,ELENA
MV ELGIZNUR CEBI,ELGIZNUR CEBI
MV ELGIZNUR CEBI (EXP-F) Mech,ELGIZNUR CEBI 
MV ELINA II,ELINA II
MV ELONA,ELONA
MV ENDLESS HORIZON,ENDLESS HORIZON
MV ENERGY SUNRISE,ENERGY SUNRISE
MV EQUINOX SEAS,EQUINOX SEAS
MV ETERNITY SW,ETERNITY SW
MV ETERNITY SW (EXP-C) Mech,ETERNITY SW
MV ETG SOUTHERN CROSS (EXP-F) Mech,ETG SOUTHERN CROSS 
MV EUROSUN,EUROSUN
MV EVANGELIA D,EVANGELIA D
MV FATEMA JAHAN II,FATEMA JAHAN II
MV FLAG TOM,FLAG TOM
MV FORTUNE WING,FORTUNE WING
MV FOUR RIGOLETTO,FOUR RIGOLETTO
MV FROSSO K,FROSSO K
MV FUJISUKA V-038,FUJISUKA
MV FUTURE ID,FUTURE ID
MV GCL GANGA [ASHOK],GCL GANGA
MV GCL NARMADA [KISHORE],GCL NARMADA
MV GCL SABARMATI,GCL SABARMATI
MV GCL TAPI,GCL TAPI
MV GCL YUMANA,GCL YAMUNA
MV GENIUS STAR X,GENIUS STAR X
MV GEORGE,GEORGE
MV GHOUSTA,GHOUSTA
MV GINGO,GINGO
MV GLORIA 1,GLORIA 1
MV GLOVIS MELODY,GLOVIS MELODY
MV GLOVIS MERMAID,GLOVIS MERMAID
MV GLYFADA I (MGT-P),GLYFADA I 
MV GOLDEN HAWK,GOLDEN HAWK
MV GOLDEN LEAF (EXP),GOLDEN LEAF
MV GREAT BEAUTY,GREAT BEAUTY
MV GV  SKY BEAUTY,SKY BEAUTY
MV HAMDA (EXP-F) Mech,HAMMADA
MV HUGE SW,HUGE SW
MV IKAN SENYUR,IKAN SENYUR
MV INCE  ANKARA,INCE  ANKARA
MV INCE ANADOLU (IMP-F) - P,INCE ANADOLU
MV INDUS TRIUMPH (EXP-C)CP,INDUS TRIUMPH
MV INGENIOUS,INGENIOUS
MV INTERLINK EQUITY,EQUITY
MV IONIC UNICORN,IONIC UNICORN
MV IONIC UNITED,IONIC UNITED
MV IRENE MADIAS (MGT-P),IRENE MADIAS
MV ISHWARI,GCL SABARMATI
MV IVS GLENEAGLES,IVS GLENEAGLES
MV JAG PRABHA,MT.JAG PRABHA
MV JAG RISHI (MGT-P),JAG RISHI 
MV JAHAN MONI ( Exp-F) Mech,JAHAN MONI
MV JAL KUMUD (EXP-C),JAL KUMUD
MV JAL VAIBHAV,JAL VAIBHAV
MV JUBILANT DEVOTION,JUBILANT DEVOTION
MV KAI OLDENDORFF,KAI OLDENDORFF
MV KALEY (EXP-F) Mech,KALEY 
MV KAMBOS,KAMBOS
MV KAMLESH,KAMLESH
MV KAPTAN ARIF BAYRAKTAR,KAPTAN ARIF BAYRAKTR
MV KEEPER,KEEPER
MV KISHORE,GCL NARMADA
MV KLIMA,KLIMA
MV KM LONDON (EXP-F) Mech,KM LONDON 
MV KONKAR THEODOROS,KONKAR THEODOROS
MV KOSMAN,KOSMAN
MV KOUJU LILY,KOUJU LILY
MV KS GRACE,KS GRACE
MV KSL LAKE HILL,KSL LAKE HILL
MV LADY MOON,LADY MOON
MV LAKE D,LAKE D
MV LARUS (EXP-F),LARUS 
MV LILA HOUSTON,LILA HOUSTON
MV LILA II,LILA II
MV LILA KYOTO (EXP-F) Mech,LILA KYOTO 
MV LMZ BIANCA,LMZ BIANCA
MV LMZ FRANCISCO,LMZ FRANCISCO
MV LOCH LONG (MGT-P),LOCH LONG
MV LUCENT,LUCENT
MV LUNA II,LUNA II
MV MAANIKA,AMARNATH
MV MAGNUM ENERGY,MAGNUM ENERGY
MV MAITHILI (EXP-F) Mech,MAITHILI 
MV MALYOVISTA,MALYOVITSA
MV MANA,MANA
MV MANDARIN GRACE,MANDARIN GRACE
MV MANDARIN HANTONG,MANDARIN HANTONG
MV MARINTRUST 01,MARINTRUST 01
MV MEDI EGADI (MGT-P),MEDI EGADI 
MV MEGHNA ENERGY (EXP-F) - Mech,MEGHNA ENERGY
MV MEL VISION,MEL VISION
MV MERLIN (EXP-F),MERLIN 
MV MESSINIAN SPIRE (EXP-F) Mech,MESSINIAN SPIRE
MV MG SAKURA (MGT-P),MG SAKURA 
MV MIRABELLA,MIRABELLA
MV MSC MAGALI,MSC MAGALI
MV MSC MAGALI (LOA/254/BM/43 ),MSC MAGALI
MV MYTHOS (EXP-C),MYTHOS 
MV NAVDHENU SUN,NAVDHENU SUN
MV NAVIIS SOUTHERN STAR,NAVIOS SOUTHERN STAR
MV NAVIOS AMARYLLIS (EXP-F),NAVIOS AMARYLLIS 
MV NAVIOS PROSPERITY I (MGT-P),NAVIOS PROSPERITY I 
MV NAVIOUS AMARYLLIS,NAVIOS AMARYLLIS
MV NEW GALAXY,NEW GALAXY
MV NICOLAOS A,NICOLAOS A
MV NIGHT  HAWK,NIGHTHAWK
MV NORD AURORA (EXP-F),NORD AURORA
MV NOSHIMA,NOSHIMA
MV OCEAN CROWN (EXP-F),OCEAN CROWN 
MV OCEAN DESTINY,OCEAN DESTINY
MV OCEAN LOVE,OCEAN LOVE
MV OCEAN VENUS (EXP-F) Mech,OCEAN VENUS 
MV OLIVIA (EXP-F),OLIVIA
MV OLYMPIC PIONEER,OLYMPIC PIONEER
MV OLYMPIC PIONEER (EXP-C) Mech,OLYMPIC PIONEER
MV OROMOS,ORMOS
MV OSPREY BULKER,OSPREY BULKER
MV PAC  ANTARES,PAC  ANTARES
MV PAN KRISTINE,PAN KRISTINE
MV PANAGIA KORONA,PANAGIA KORONA
MV PATRICIA OLDENDROSS (LOA-255/Beam-43),PATRICIA OLDENDORF
MV PHILLIP OLDENDORFF (MGT-P) (L-254/B-43),PHILIPP OLDENDORFF
MV PIONEER DREAM,MAC DALIAN
MV PIONEER ELITE,PIONEER ELITE
MV PIONEER FORTUNE (IMP-F),PIONEER FORTUNE
MV POAVOSA WISDOM,POAVOSA WISDOM
MV PRIMA VEERA II,PRIMAVERA II
MV PROPEL PROGRESS,PROPEL PROGRESS
MV REA,REA
MV RED FIN (EXP-F),RED FIN
MV REK GRACE,REK GRACE
MV ROMANDIE,ROMANDIE
MV RUSLANA,RUSLANA
MV SAEFE SEA ANYA,SAFESEA ANYA
MV SAGAR JEET,SAGAR JEET
MV SAGARJEET,SAGARJEET
MV SANMAR  SITAR,SANMAR  SITAR
MV SCARLET ROSELLA (MGT-P),SCARLET ROSELLA
MV SEA FORTUNE,SEA FORTUNE
MV SHAKTHI II,SAKTHI 2
MV SHAKTHI II (B/L),SAKTHI 2
MV SHE JYOTHI,SHEJYOTI
MV SHEJOTHI,SHEJYOTI
MV SHENG XIANG HAI  (EXP-F),SHENG XIANG HAI
MV SHER-E PUNJAB (EXP),SHER-E PUNJAB
MV SHIMANAMI STAR,SHIMANAMI STAR
MV SHRAVAN,SHRAVAN
MV SIMGE AKSOY,SIMGE AKSOY
MV SIRRAH,SIRRAH
MV SM AURORA,SM AURORA
MV SOLAR AFRICA,SOLAR AFRICA
MV STAR CRIOS  (EXP-F) - P,STAR CRIOS
MV STAR ELIZABETH (MGT-P),STAR ELIZABETH
